NAME,TYPE,LOCATION,TAG,LAT,LON
우성헬스,헬스/휘트니스,서울특별시 동대문구 신설동 왕산로,스트레스 해소; 감정 자극,37.5758417,127.0236765
중앙24시헬스,헬스/휘트니스,서울특별시 서대문구 북아현동 북아현로,스트레스 해소; 감정 자극,37.563293,126.9547724
헬스토피아,헬스/휘트니스,서울특별시 구로구 오류동 오류로8길,스트레스 해소; 감정 자극,37.4921777,126.8433946
휘트니스센터,헬스/휘트니스,서울특별시 중구 충무로1가 명동8나길,스트레스 해소; 감정 자극,37.5612962,126.9832412
동방헬스,헬스/휘트니스,서울특별시 성북구 장위동 장위로,스트레스 해소; 감정 자극,37.6137685,127.0517249
에너지플러스,헬스/휘트니스,서울특별시 강남구 청담동 선릉로,스트레스 해소; 감정 자극,37.5231877,127.0391653
진여성전용휘트니스,헬스/휘트니스,서울특별시 마포구 합정동 월드컵로,스트레스 해소; 감정 자극,37.5494977,126.9132614
신사헬스클럽,헬스/휘트니스,서울특별시 강남구 신사동 강남대로152길,스트레스 해소; 감정 자극,37.5187492,127.0241275
그린헬스,헬스/휘트니스,서울특별시 중랑구 중화동 중랑역로,스트레스 해소; 감정 자극,37.5943804,127.0771237
우진헬스클럽,헬스/휘트니스,서울특별시 종로구 종로6가 종로41길,스트레스 해소; 감정 자극,37.572777,127.0066709
한남헬스,헬스/휘트니스,서울특별시 용산구 한남동 대사관로31길,스트레스 해소; 감정 자극,37.5342019,127.0048434
동산헬스,헬스/휘트니스,서울특별시 동대문구 전농동 전농로,스트레스 해소; 감정 자극,37.5767643,127.0576969
헬스클럽,헬스/휘트니스,서울특별시 강남구 논현동 강남대로122길,스트레스 해소; 감정 자극,37.5090303,127.025855
무지개헬스클럽,헬스/휘트니스,서울특별시 마포구 성산동 월드컵북로,스트레스 해소; 감정 자극,37.5690037,126.9045248
용마헬스클럽,헬스/휘트니스,서울특별시 중랑구 면목동 면목로,스트레스 해소; 감정 자극,37.5816841,127.0886238
펌프헬스클럽,헬스/휘트니스,서울특별시 양천구 목동 목동중앙로,스트레스 해소; 감정 자극,37.5357127,126.8704635
챠밍헬스클럽,헬스/휘트니스,서울특별시 성북구 동선동1가 동소문로,스트레스 해소; 감정 자극,37.5935458,127.017058
종로헬스,헬스/휘트니스,서울특별시 종로구 관철동 삼일대로17길,스트레스 해소; 감정 자극,37.5691738,126.9860324
고려헬스,헬스/휘트니스,서울특별시 동대문구 제기동 안암로24길,스트레스 해소; 감정 자극,37.588269,127.0359904
유진헬스크럽,헬스/휘트니스,서울특별시 동작구 대방동 등용로,스트레스 해소; 감정 자극,37.505551,126.9342135
그랜드헬스클럽,헬스/휘트니스,서울특별시 용산구 보광동 장문로,스트레스 해소; 감정 자극,37.5267047,127.002788
스타헬스,헬스/휘트니스,서울특별시 동대문구 전농동 전농로,스트레스 해소; 감정 자극,37.5767643,127.0576969
한양남여헬스,헬스/휘트니스,서울특별시 동대문구 청량리동 홍릉로,스트레스 해소; 감정 자극,37.5834824,127.0441365
